"","VannKraftverkID","Navn","VannKVType","HovedEier","HovedEier_OrgNr","Fylke","FylkesNr","Kommune","KommuneNr","ForsteUtnyttelseAvFalletDato","DatoForEldsteKraftproduserendeDel","MaksYtelse","MidProd_81_10","BruttoFallhoyde_M","Slukeevne","EnEkv","ElspotomraadeNummer","RegineNr"
"1466",1812,"Tverrgjuvlo","Kraftverk","SMÅKRAFT AS","984616155","Hordaland","12","Voss","35","2016-04-13T00:00:00","2016-04-13T00:00:00",5.7,18.2,386.7,1.8,0.88,"5","062.BA0"
"1467",463,"Tverrvatn","Pumpe","STATKRAFT ENERGI AS","987059729","Nordland","18","Rana","33","1969-01-01T00:00:00","1969-01-01T00:00:00",-1.2,-3.6952,0,2.59,-0.128,"4","156.AF"
"1468",1799,"Tverråa","Kraftverk","TVERRÅA KRAFT AS","993283479","Trøndelag","50","Steinkjer","04","2015-01-14T00:00:00","2015-01-14T00:00:00",0.93,3,239,0.52,0.497,"3","128.C41B"
"1469",1855,"Tverråa","Kraftverk","HELGELAND KRAFT VANNKRAFT AS","917424896","Nordland","18","Brønnøy","13","2018-05-09T00:00:00","2018-05-09T00:00:00",4.7,16,105,5.88,0.222,"4","144.7AZ"
"1470",1725,"Tverråga","Kraftverk","SMÅKRAFT AS","984616155","Nordland","18","Hemnes","32","2014-01-30T00:00:00","2014-01-30T00:00:00",2.9,9.1,424,0.8,1.007,"4","155.AC0"
"1471",1824,"Tverråna","Kraftverk","ULLESTAD KRAFT AS","998590140","Rogaland","11","Hjelmeland","33","2016-06-01T00:00:00","2016-06-01T00:00:00",3.26,9.8,335,1.15,0.787,"2","033.B1A"
"1472",1843,"Tverråni","Kraftverk","SMÅKRAFT AS","984616155","Buskerud","06","Nes i Buskerud","16","2016-05-21T00:00:00","2016-05-21T00:00:00",3,7.9,307,1.2,0.694,"5","012.CC7AZ"
"1473",919,"Tverå","Kraftverk","TVERÅKRAFT AS","985927251","Møre og Romsdal","15","Rauma","39","2004-01-01T00:00:00","2004-01-01T00:00:00",0.956,4.6,140,NA,NA,"3","104.1Z"
"1474",465,"Tya","Kraftverk","STATKRAFT ENERGI AS","987059729","Trøndelag","50","Tydal","33","1964-01-01T00:00:00","1964-01-01T00:00:00",32,159.4697,200,20.02,0.444,"3","123.F1B"
"1475",815,"Tyin","Kraftverk","NORSK HYDRO RJUKAN NÆRINGSPARK","974283646","Sogn og Fjordane","14","Årdal","24","2004-01-01T00:00:00","2004-01-01T00:00:00",374,1449.726,1040,40,2.597,"5","074.CA0"
"1476",1193,"Tynna","Kraftverk","TYNNA KRAFTVERK SA","970959920","Trøndelag","50","Rennebu","22","1913-01-01T00:00:00","1913-01-01T00:00:00",0.07,0.3,NA,NA,NA,"3","121.C1"
"1477",467,"Tyria I","Kraftverk","E-CO ENERGI AS","976894677","Hedmark","04","Ringsaker","12","1949-01-01T00:00:00","1949-01-01T00:00:00",3.3,15.8785,176,2.4,0.381,"1","002.DD5B0"
"1478",468,"Tyria II","Kraftverk","E-CO ENERGI AS","976894677","Hedmark","04","Ringsaker","12","1958-01-01T00:00:00","1958-01-01T00:00:00",2.2,9.9898,114,2.8,0.234,"1","002.DD5BA"
"1479",1861,"Tysseelva","Kraftverk","SMÅKRAFT AS","984616155","Rogaland","11","Suldal","34","2017-11-08T00:00:00","2017-11-08T00:00:00",5.55,17.25,347.85,1.93,0.799,"2","035.72A"
"1480",976,"Tyssefossen","Kraftverk","BKK PRODUKSJON AS","876944642","Hordaland","12","Samnanger","42","1941-07-01T00:00:00","1941-07-01T00:00:00",2.8,22.9,21,18,0.043,"5","055.A0"
"1481",1258,"Tyssehøl","Pumpe","STATKRAFT ENERGI AS","987059729","Hordaland","12","Odda","28","2001-01-01T00:00:00","2001-01-01T00:00:00",-0.5,0,40,1,NA,"2","049.C2"
"1482",789,"Tysseland","Kraftverk","TYSSELAND KRAFTLAG AS","979749643","Rogaland","11","Suldal","34","2002-01-01T00:00:00","2002-01-01T00:00:00",4.8,24.5,225,2.5,0.522,"2","037.5Z"
"1483",470,"Tysso II","Kraftverk","STATKRAFT ENERGI AS","987059729","Hordaland","12","Odda","28","1967-01-15T00:00:00","1967-01-15T00:00:00",224,1068.956,725,37,1.682,"2","049.A42"
"1484",1718,"Tyttebærelva","Kraftverk","SMÅKRAFT AS","984616155","Troms","19","Lyngen","38","2014-08-06T00:00:00","2014-08-06T00:00:00",1.46,4.34,107,1.64,0.247,"4","203.73"
"1485",1203,"Tømmerdal","Kraftverk","SMÅKRAFT AS","984616155","Trøndelag","50","Indre Fosen","54","2002-02-15T00:00:00","2002-02-15T00:00:00",0.99,3.5,NA,NA,NA,"3","131.62Z"
"1486",1198,"Tørnes","Kraftverk","","","Trøndelag","50","Midtre Gauldal","27","1930-01-01T00:00:00","1930-01-01T00:00:00",0.055,0.2,NA,NA,NA,"3","122.BC0"
"1487",1106,"Tørrbekken","Kraftverk","TØRRBEKKEN PRODUCTION ØYVIND BRATTLAND","984429991","Nordland","18","Rana","33","2010-01-01T00:00:00","2010-01-01T00:00:00",0.7,1.8,265,0.3,0.648,"4","156.D2A"
"1488",471,"Tøsse","Kraftverk","SMÅKRAFT AS","984616155","Hordaland","12","Osterøy","53","1981-08-19T00:00:00","1981-08-19T00:00:00",3.5,14.254,52,5.9,0.165,"5","060.6Z"
