"","VannKraftverkID","Navn","VannKVType","HovedEier","HovedEier_OrgNr","Fylke","FylkesNr","Kommune","KommuneNr","ForsteUtnyttelseAvFalletDato","DatoForEldsteKraftproduserendeDel","MaksYtelse","MidProd_81_10","BruttoFallhoyde_M","Slukeevne","EnEkv","ElspotomraadeNummer","RegineNr"
"1",1,"Aall-Ulefoss","Kraftverk","RINGERIKSKRAFT PRODUKSJON AS","987293586","Telemark","08","Nome","19","1948-01-01T00:00:00","1948-01-01T00:00:00",5.7,44.016,10.6,66,0.025,"2","016.BA11"
"2",1189,"Aaning","Kraftverk","","","Sogn og Fjordane","14","Stryn","49","1999-01-01T00:00:00","1999-01-01T00:00:00",0.016,0.07,NA,NA,NA,"3","088.B11"
"3",1096,"Aarskog","Kraftverk","FITJAR KRAFTLAG SA","971028548","Hordaland","12","Fitjar","22","1996-01-01T00:00:00","1996-01-01T00:00:00",0.83,3.1,NA,NA,NA,"2","044.6"
"4",774,"Aas","Kraftverk","LØVENSKIOLD FOSSUM KRAFT","982699614","Telemark","08","Skien","06","1908-01-01T00:00:00","1998-01-01T00:00:00",1,4.9422,19,6.5,0.05,"2","016.AB"
"5",2,"Adamselv","Kraftverk","STATKRAFT ENERGI AS","987059729","Finnmark - Finnmárku","20","Lebesby","22","1973-01-01T00:00:00","1973-01-01T00:00:00",50,215,200,30.19,0.46,"4","229.3Z"
"6",1290,"Adamselv II","Kraftverk","","","Finnmark - Finnmárku","20","Lebesby","22","2007-01-01T00:00:00","2007-01-01T00:00:00",0.4,2,NA,NA,NA,"4","229.3Z"
"7",1268,"Aga","Kraftverk","","","Hordaland","12","Granvin","34","2007-01-01T00:00:00","2007-01-01T00:00:00",0.05,0.25,NA,NA,NA,"5","052.1B"
"8",1527,"Aklestad","Kraftverk","","","Møre og Romsdal","15","Ørsta","20","2008-01-01T00:00:00","2008-01-01T00:00:00",0.0115,0.1,NA,NA,NA,"3","097.1Z"
"9",1677,"Akslandselva","Kraftverk","AKSLANDSELVA KRAFTVERK AS","991005625","Hordaland","12","Etne","11","2013-07-15T00:00:00","2013-07-15T00:00:00",1.7,6.06,332.5,0.67,0.705,"2","042.11Z"
"10",938,"Alnes Vannbehandlingsanlegg","Kraftverk","GISKE KOMMUNE","964980721","Møre og Romsdal","15","Giske","32","1997-01-01T00:00:00","1997-01-01T00:00:00",0.06,0.18,NA,NA,NA,"3","101.72"
"11",1689,"Alsaker","Kraftverk","ALSAKER KRAFT AS","990843805","Hordaland","12","Kvinnherad","24","2009-03-17T00:00:00","2009-03-17T00:00:00",1.2,5,157,0.95,0.351,"2","042.62Z"
"12",3,"Alta","Kraftverk","STATKRAFT ENERGI AS","987059729","Finnmark - Finnmárku","20","Alta","12","1987-05-21T00:00:00","1987-05-21T00:00:00",150,762.3478,185,96.01,0.433,"4","212.B6"
"13",808,"Andåsfossen","Kraftverk","HELGELAND KRAFT VANNKRAFT AS","917424896","Nordland","18","Vefsn","24","2001-02-14T00:00:00","2001-02-14T00:00:00",2,6.6495,NA,4.7,0.118,"4","151.A21A1"
"14",1929,"Anga","Kraftverk","ANGA KRAFT AS","911605384","Sogn og Fjordane","14","Førde","32","2019-07-01T00:00:00","2019-07-01T00:00:00",7.8,21.7,56,16.2,0.134,"3","084.AA0"
"15",626,"Angvik","Kraftverk","ISTAD KRAFT AS","923253920","Møre og Romsdal","15","Gjemnes","57","1990-01-01T00:00:00","1990-01-01T00:00:00",1.1,4.9233,56,2.41,0.127,"3","109.1Z"
"16",5,"Ardalen","Kraftverk","SMÅKRAFT AS","984616155","Hordaland","12","Vaksdal","51","1954-01-01T00:00:00","1954-01-01T00:00:00",2.5,14.0489,120,2.29,0.289,"5","061.4B0"
"17",6,"Arna","Kraftverk","ARNA KRAFTSELSKAP AS","910267299","Hordaland","12","Bergen","01","1934-01-01T00:00:00","1934-01-01T00:00:00",2.2,7.5884,61,4.09,0.149,"5","061.1A"
"18",817,"Arneselv","Kraftverk","BALLANGEN ENERGI AS","971592117","Nordland","18","Ballangen","54","2004-09-08T00:00:00","2004-09-08T00:00:00",2.4,8,412.8,0.7,0.952,"4","173.2Z"
"19",1160,"Arstadfossen","Kraftverk","ARSTADFOSSEN KRAFTVERK AS","984735545","Nordland","18","Beiarn","39","2003-12-01T00:00:00","2003-12-01T00:00:00",1,4,NA,NA,NA,"4","161.AA0"
"20",1413,"Ask Kraft","Kraftverk","ASK Opstvedt","866927472","Rogaland","11","Vindafjord","60","2007-08-10T00:00:00","2007-08-10T00:00:00",0.195,0.8,140,0.24,NA,"2","041.33A"
"21",7,"Askerudfoss","Kraftverk","VIUL KRAFT AS","961113539","Buskerud","06","Ringerike","05","1946-07-01T00:00:00","1946-07-01T00:00:00",13.2,58.0463,20.6,76.38,0.048,"1","012.EA6"
"22",986,"Aspenes","Kraftverk","ASPENES MIKROKRAFT J.M. Aspenes","988625035","Hordaland","12","Os i Hordaland","43","2005-01-01T00:00:00","2005-01-01T00:00:00",0.055,0.22,NA,NA,NA,"5","055.60"
"23",1289,"Aunbekken","Kraftverk","INGE KVAAL","988709220","Trøndelag","50","Stjørdal","35","2002-01-01T00:00:00","2002-01-01T00:00:00",0.018,0.1,NA,NA,NA,"3","124.C4"
"24",8,"Aunfoss","Kraftverk","NTE ENERGI AS","988340715","Trøndelag","50","Grong","45","1959-06-05T00:00:00","1959-06-05T00:00:00",29.54,214.1837,28.5,129.92,0.061,"3","139.D2"
"25",9,"Aura","Kraftverk","STATKRAFT ENERGI AS","987059729","Møre og Romsdal","15","Sunndal","63","1955-06-24T00:00:00","1955-06-24T00:00:00",290,1852.07,783,46,1.751,"3","109.5A1"
"26",1019,"Aurdal","Kraftverk","","","Rogaland","11","Vindafjord","60","2002-01-01T00:00:00","2002-01-01T00:00:00",0.02,0.08,40,NA,NA,"2","038.5C"
"27",10,"Aurland I","Kraftverk","E-CO ENERGI AS","976894677","Sogn og Fjordane","14","Aurland","21","1973-01-11T00:00:00","1973-01-11T00:00:00",840,2508.253,850,112.5,2.074,"5","072.B1A"
"28",11,"Aurland II H","Kraftverk","E-CO ENERGI AS","976894677","Sogn og Fjordane","14","Aurland","21","1983-01-19T00:00:00","1983-01-19T00:00:00",70,259.1953,500,16.1,1.207,"5","072.CB2"
"29",12,"Aurland II L","Kraftverk","E-CO ENERGI AS","976894677","Sogn og Fjordane","14","Aurland","21","1982-10-05T00:00:00","1982-10-05T00:00:00",60,227.4592,109,61.95,0.268,"5","072.CB2"
"30",13,"Aurland III","Pumpekraftverk","E-CO ENERGI AS","976894677","Sogn og Fjordane","14","Aurland","21","1979-07-30T00:00:00","1979-07-30T00:00:00",270,170.1262,400,79.95,0.938,"5","072.G"
"31",489,"Aurland IV (Vangen)","Kraftverk","E-CO ENERGI AS","976894677","Sogn og Fjordane","14","Aurland","21","1980-09-25T00:00:00","1980-09-25T00:00:00",38,112.2034,55,90,0.117,"5","072.2Z"
"32",338,"Aurland V (Reppa)","Kraftverk","E-CO ENERGI AS","976894677","Sogn og Fjordane","14","Aurland","21","1984-02-14T00:00:00","1984-02-14T00:00:00",9,29.4468,395,2.59,0.965,"5","072.CAA"
"33",793,"Austdøla","Kraftverk","AUSTDØLA KRAFT AS","985369534","Hordaland","12","Odda","28","2004-01-09T00:00:00","2004-01-09T00:00:00",1.3,6,147,1.1,0.328,"2","048.DA"
"34",1162,"Austvass","Kraftverk","AUSTVASSKRAFT AS","983640001","Hedmark","04","Nord-Odal","18","2002-01-01T00:00:00","2002-01-01T00:00:00",0.12,0.192,NA,NA,NA,"1","002.EB1A"
"35",1839,"Baggfossen","Kraftverk","BAGGFOSSEN MIKROKRAFT AS","996861589","Nordland","18","Sørfold","45","2015-12-17T00:00:00","2015-12-17T00:00:00",0.132,0.7,24,0.81,0.046,"4","167.2A"
"36",15,"Bagn","Kraftverk","SKAGERAK KRAFT AS","979563531","Oppland","05","Sør-Aurdal","40","1963-01-12T00:00:00","1963-01-12T00:00:00",75.5,293.702,87,99.7,0.21,"1","012.J1"
"37",941,"Bakkefossen","Kraftverk","GJERLAND NILS","969449919","Sogn og Fjordane","14","Førde","32","1994-01-01T00:00:00","1994-01-01T00:00:00",0.0738,0.4,NA,NA,NA,"3","083.EA0"
"38",16,"Bardufoss","Kraftverk","STATKRAFT ENERGI AS","987059729","Troms","19","Målselv","24","1953-10-01T00:00:00","1953-10-01T00:00:00",41.5,221.3252,52.79,79.69,0.122,"4","196.AA3"
"39",17,"Bedafors","Kraftverk","E-CO ENERGI AS","976894677","Hedmark","04","Kongsvinger","02","1985-12-01T00:00:00","1985-12-01T00:00:00",1,4.5217,19.29,5.44,0.05,"1","313.A1F2"
"40",792,"Befring","Kraftverk","BEFRING KRAFT AS","984512481","Sogn og Fjordane","14","Jølster","31","2003-04-07T00:00:00","2003-04-07T00:00:00",4.5,21.3,281,1.9,0.658,"3","087.E"
"41",18,"Begna","Kraftverk","GLITRE ENERGI PRODUKSJON AS","979487223","Buskerud","06","Ringerike","05","1954-08-01T00:00:00","1954-08-01T00:00:00",5.6,37.1201,8,81.87,0.018,"1","012.F23"
"42",1678,"Bele","Kraftverk","BELE KRAFT AS","995357895","Møre og Romsdal","15","Surnadal","66","2013-01-19T00:00:00","2013-01-19T00:00:00",2.9,8.64,379,0.94,0.857,"3","112.4Z"
"43",910,"Bele mikrokraftverk","Kraftverk","BELE KRAFTVERK DA","989814702","Møre og Romsdal","15","Surnadal","66","2007-01-01T00:00:00","2007-01-01T00:00:00",0.082,0.6,91,0.2,NA,"3","112.4Z"
"44",1665,"Bentsjord","Kraftverk","BENTSJORD KRAFT AS","990536511","Troms","19","Storfjord – Omasvuotna – Omasvuono","39","2012-06-22T00:00:00","2012-06-22T00:00:00",2.66,6.7,419,0.727,1.016,"4","204.92"
"45",991,"Berdal","Kraftverk","","","Trøndelag","50","Åfjord","18","1996-01-01T00:00:00","1996-01-01T00:00:00",0.2,0.8,NA,NA,NA,"3","135.AAA"
"46",1559,"Berdalselva","Kraftverk","BERDALSKRAFT AS","990991251","Møre og Romsdal","15","Rauma","39","2011-03-07T00:00:00","2011-03-07T00:00:00",4.35,13.6,304.3,1.7,0.711,"3","103.2A"
"47",1300,"Bergbekken","Kraftverk","","","Møre og Romsdal","15","Molde","02","1998-01-01T00:00:00","1998-01-01T00:00:00",0.0014,0.003,18,0.024,0.016,"3","105.4B"
"48",1914,"Berge","Kraftverk","FJÆRLAND KRAFT AS","916498721","Sogn og Fjordane","14","Sogndal","20","2018-03-06T00:00:00","2018-03-06T00:00:00",7.96,22.3,425,2.4,0.921,"5","078.21Z"
"49",1363,"Bergelva","Kraftverk","BERGELVA KRAFT AS","989930583","Møre og Romsdal","15","Haram","34","2008-05-09T00:00:00","2008-05-09T00:00:00",0.3,1.4,NA,NA,NA,"3","102.2Z"
"50",19,"Bergerfoss","Kraftverk","AS RANDSFJORD TREMASSE- & PAPIRFABRIKK","915297331","Oppland","05","Jevnaker","32","1938-01-01T00:00:00","1938-01-01T00:00:00",3.3,15.2476,5.4,70.51,0.013,"1","012.EA8"
"51",1513,"Bergesli","Kraftverk","BERGESLI KRAFTVERK AS","990917779","Vest-Agder","10","Kvinesdal","37","2008-07-02T00:00:00","2008-07-02T00:00:00",0.78,2,NA,NA,NA,"2","025.B3Z"
"52",20,"Bergsbotn","Kraftverk","TROMS KRAFT PRODUKSJON AS","979152116","Troms","19","Berg","29","1985-01-01T00:00:00","1985-01-01T00:00:00",7.9,34.7871,354.1,2.59,0.843,"4","195.6A0"
"53",1732,"Bergselva","Kraftverk","NORDIC POWER AS","914341183","Troms","19","Storfjord – Omasvuotna – Omasvuono","39","2013-09-18T00:00:00","2013-09-18T00:00:00",5.4,11.6,394,1.6,0.938,"4","204.82"
"54",1207,"Bergsfjord","Kraftverk","YMBER PRODUKSJON AS","914678412","Finnmark - Finnmárku","20","Loppa","14","1959-01-01T00:00:00","2006-12-14T00:00:00",1.1,4,NA,NA,NA,"4","211.34A"
"55",1447,"Bergstø","Kraftverk","SMÅKRAFT AS","984616155","Hordaland","12","Etne","11","2009-12-04T00:00:00","2009-12-04T00:00:00",2.9,9,240,1.33,0.605,"2","042.3Z"
"56",765,"Berild","Kraftverk","RAUMA ENERGI AS","970974253","Møre og Romsdal","15","Rauma","39","1999-09-27T00:00:00","1999-09-27T00:00:00",15.9,51.6063,275,6.6,0.669,"3","103.2Z"
"57",21,"Berlifoss","Kraftverk","AGDER ENERGI VANNKRAFT AS","882973972","Telemark","08","Nissedal","30","1958-01-01T00:00:00","1958-01-01T00:00:00",9.5,62.1474,29,39.97,0.065,"2","019.DA1"
"58",1006,"Bessa Minikraftverk","Kraftverk","","","Oppland","05","Vågå","15","1999-01-01T00:00:00","1999-01-01T00:00:00",0.098,0.7,NA,NA,NA,"3","002.DGF51"
"59",1802,"Bestul","Pumpe","LØVENSKIOLD-FOSSUM KRAFT AS","994200682","Telemark","08","Skien","06","2015-02-02T00:00:00","2015-02-02T00:00:00",-0.71,-2.8,NA,1.5,-0.131,"2","016.ADAZ"
"60",22,"Bingsfoss","Kraftverk","GLOMMA KRAFTPRODUKSJON AS","987287608","Akershus","02","Sørum","26","1977-06-15T00:00:00","1977-06-15T00:00:00",32.5,199.7972,5,820,0.011,"1","002.D4"
"61",1917,"Birkedal","Kraftverk","BØSTRAND AUTOMASKIN","892540322","Møre og Romsdal","15","Vanylven","11","2017-12-20T00:00:00","2017-12-20T00:00:00",0.055,0.1,93,0.079,0.193,"3","092.A"
"62",983,"Birkås","Kraftverk","SMÅKRAFT AS","984616155","Sogn og Fjordane","14","Høyanger","16","2006-08-24T00:00:00","2006-08-24T00:00:00",0.71,2.84,NA,NA,NA,"3","080.22D"
"63",994,"Biskopstien","Kraftverk","","","Rogaland","11","Lund","12","1999-01-01T00:00:00","1999-01-01T00:00:00",0.04,0.2,NA,NA,NA,"2","026.BB"
"64",23,"Bjelland","Kraftverk","AGDER ENERGI VANNKRAFT AS","882973972","Vest-Agder","10","Marnardal","21","1974-01-01T00:00:00","1974-01-01T00:00:00",55,346.9117,84.3,80.18,0.194,"2","022.C4"
"65",1626,"Bjelland II","Kraftverk","BJELLAND & MUSLAND KRAFT AS","892065152","Rogaland","11","Tysvær","46","2011-11-02T00:00:00","2011-11-02T00:00:00",0.71,2.6,165,0.61,0.323,"2","039.12"
"66",1011,"Bjergaelva","Kraftverk","BJERGAELVA KRAFT AS","880419552","Rogaland","11","Suldal","34","2004-01-01T00:00:00","2004-01-01T00:00:00",0.65,4,NA,NA,NA,"2","036.32"
"67",24,"Bjerka","Kraftverk","STATKRAFT ENERGI AS","987059729","Nordland","18","Hemnes","32","1972-01-01T00:00:00","1972-01-01T00:00:00",20,136.9323,357,6.59,0.842,"4","155.AC0"
"68",898,"Bjordal","Kraftverk","JENS DOMINICUS NAGELL BJORDAL","985035652","Rogaland","11","Vindafjord","60","2004-11-18T00:00:00","2004-11-18T00:00:00",0.099,0.6,NA,NA,NA,"2","041.21Z"
"69",1498,"Bjordal II","Kraftverk","JENS DOMINICUS NAGELL BJORDAL","985035652","Rogaland","11","Vindafjord","60","2009-06-15T00:00:00","2009-06-15T00:00:00",0.14,0.546,NA,NA,NA,"2","041.21Z"
"70",25,"Bjordalen","Kraftverk","SKAGERAK KRAFT AS","979563531","Telemark","08","Hjartdal","27","1960-09-02T00:00:00","1960-09-02T00:00:00",2.9,7.6763,56.5,9.3,0.087,"2","016.EDZ"
"71",881,"Bjordøla","Kraftverk","NORDBØ OLAV S","970260196","Telemark","08","Hjartdal","27","2005-04-11T00:00:00","2005-04-11T00:00:00",0.132,0.33,25,0.7,0.052,"2","016.EDC"
"72",1260,"Bjoråi","Kraftverk","","","Telemark","08","Fyresdal","31","2005-01-01T00:00:00","2005-01-01T00:00:00",0.028,0.175,NA,NA,NA,"2","019.DCC"
"73",26,"Bjølvo","Kraftverk","STATKRAFT ENERGI AS","987059729","Hordaland","12","Kvam","38","2003-01-01T00:00:00","2003-01-01T00:00:00",99.2,428.218,870,13,2.11,"5","052.4Z"
"74",27,"Bjørdal","Kraftverk","TUSSA ENERGI AS","876795442","Møre og Romsdal","15","Ørsta","20","1931-01-01T00:00:00","1931-01-01T00:00:00",4.3,27.76,291,1.9,0.629,"3","095.E"
"75",1540,"Bjørgjo","Kraftverk","KAMBO ENERGI AS","992529970","Hordaland","12","Etne","11","2009-06-11T00:00:00","2009-06-11T00:00:00",0.6,2,348.5,0.2,NA,"2","041.41A0"
"76",814,"Bjørgum","Kraftverk","SMÅKRAFT AS","984616155","Aust-Agder","09","Valle","40","2004-09-01T00:00:00","2004-09-01T00:00:00",5.495,17.561,295,2.3,0.663,"2","021.E5A"
"77",1250,"Bjørheimsbygd","Kraftverk","BJØRHEIMSBYGD KRAFTVERK AS","988357537","Rogaland","11","Strand","30","2006-02-17T00:00:00","2006-02-17T00:00:00",0.9,3.6,176,NA,NA,"2","032.4A5"
"78",28,"Bjørkåsen","Kraftverk","BALLANGEN ENERGI AS","971592117","Nordland","18","Ballangen","54","1921-01-01T00:00:00","1987-09-20T00:00:00",3.68,21.6586,82.5,6.2,0.175,"4","173.3Z"
"79",1367,"Bjørndalen","Kraftverk","SFE PRODUKSJON AS","984882106","Sogn og Fjordane","14","Bremanger","38","2006-06-15T00:00:00","2006-06-15T00:00:00",4.95,27,101.6,5.5,0.25,"3","086.7C"
"80",1242,"Bjørndalselva","Kraftverk","BJØRNDALEN KRAFT AS","988456632","Sogn og Fjordane","14","Jølster","31","2006-06-15T00:00:00","2006-06-15T00:00:00",5.3,17.4,327,1.92,0.752,"3","084.E31"
"81",1166,"Bjørnebykverna","Kraftverk","SOLØR MILJØ KRAFT AS","894678852","Hedmark","04","Åsnes","25","2000-01-01T00:00:00","2000-01-01T00:00:00",0.09,0.45,8,NA,NA,"1","002.H1A0"
"82",1854,"Bjørnstokk","Kraftverk","HELGELAND KRAFT VANNKRAFT AS","917424896","Nordland","18","Brønnøy","13","2017-07-06T00:00:00","2017-07-06T00:00:00",8.2,24.8,264.2,3.7,0.616,"4","144.721Z"
"83",979,"Bjørsvik","Kraftverk","Norwegian Preserving Co AS","930612375","Hordaland","12","Lindås","63","1952-01-01T00:00:00","1952-01-01T00:00:00",0.495,1.5,NA,NA,NA,"5","064.6"
"84",1115,"Bjøråa","Kraftverk","NILS AUN OKSTAD","870418752","Trøndelag","50","Høylandet","46","1999-01-01T00:00:00","1999-01-01T00:00:00",0.025,0.02,71,0.06,0.116,"4","142.32Z"
"85",1190,"Bjøråa","Kraftverk","HANS JOHAN AARNES","979259492","Møre og Romsdal","15","Surnadal","66","1997-01-01T00:00:00","1997-01-01T00:00:00",0.036,0.27,NA,NA,NA,"3","112.3A2"
"86",1915,"Bjåstad","Kraftverk","FJÆRLAND KRAFT AS","916498721","Sogn og Fjordane","14","Sogndal","20","2018-03-22T00:00:00","2018-03-22T00:00:00",5.19,14.4,385.83,1.68,0.858,"5","078.21Z"
"87",1351,"Blikraåna","Kraftverk","BLIKRAÅNA KRAFTVERK AS","889506822","Rogaland","11","Vindafjord","60","2006-09-27T00:00:00","2006-09-27T00:00:00",0.25,0.85,235,0.08,NA,"2","038.5B"
"88",1078,"Blikåsbekken","Kraftverk","","","Trøndelag","50","Indre Fosen","54","2000-01-01T00:00:00","2000-01-01T00:00:00",0.004,0.016,NA,NA,NA,"3","131.9B"
"89",1454,"Blådalselva","Kraftverk","SMÅKRAFT AS","984616155","Hordaland","12","Masfjorden","66","2010-09-27T00:00:00","2010-09-27T00:00:00",2.66,6.4,247,1.3,0.568,"5","065.7Z"
"90",31,"Blåfalli III H","Kraftverk","SUNNHORDLAND KRAFTLAG AS","916435711","Hordaland","12","Kvinnherad","24","1968-01-01T00:00:00","1968-01-01T00:00:00",100,416.4952,320,38,0.731,"2","042.B2"
"91",32,"Blåfalli III L","Kraftverk","SUNNHORDLAND KRAFTLAG AS","916435711","Hordaland","12","Kvinnherad","24","1976-01-01T00:00:00","1976-01-01T00:00:00",5,19.3727,57,9.02,0.153,"2","042.B2"
"92",33,"Blåfalli IV","Kraftverk","SUNNHORDLAND KRAFTLAG AS","916435711","Hordaland","12","Kvinnherad","24","1981-12-15T00:00:00","1981-12-15T00:00:00",13,66.941,150,10,0.361,"2","042.E21"
"93",781,"Blåfalli V","Kraftverk","SUNNHORDLAND KRAFTLAG AS","916435711","Hordaland","12","Kvinnherad","24","2002-01-01T00:00:00","2002-01-01T00:00:00",8.1,26.572,56,17.3,0.13,"2","042.F"
"94",1334,"Blåfalli Vik","Kraftverk","SUNNHORDLAND KRAFTLAG AS","916435711","Hordaland","12","Kvinnherad","24","2007-05-01T00:00:00","2007-05-01T00:00:00",230,712.3,374.8,70,0.938,"2","042.7B"
"95",1281,"Blålid","Kraftverk","BLÅLID KRAFT AS","989362402","Sogn og Fjordane","14","Bremanger","38","2007-03-28T00:00:00","2007-03-28T00:00:00",0.565,2.2,95,0.75,0.209,"3","086.320"
"96",1262,"Blåsvagrova","Kraftverk","","","Sogn og Fjordane","14","Førde","32","2005-01-01T00:00:00","2005-01-01T00:00:00",0.017,0.07,NA,NA,NA,"3","083.F"
"97",1793,"Bog","Kraftverk","BOG KRAFT AS","992784954","Rogaland","11","Suldal","34","2008-11-19T00:00:00","2008-11-19T00:00:00",0.09,0.39,NA,NA,NA,"2","035.8"
"98",1333,"Boge 1","Kraftverk","BOGE KRAFT AS","985993610","Hordaland","12","Vaksdal","51","2007-01-01T00:00:00","2007-01-01T00:00:00",1.35,6.1,209,0.87,0.431,"5","061.4A"
"99",1463,"Boge 2","Kraftverk","BOGE KRAFT AS","985993610","Hordaland","12","Vaksdal","51","2008-09-02T00:00:00","2008-09-02T00:00:00",1.25,5.5,261.66,0.6,0.579,"5","061.4A"
"100",34,"Bogna","Kraftverk","NTE ENERGI AS","988340715","Trøndelag","50","Snåase – Snåsa","41","1971-01-28T00:00:00","1971-01-28T00:00:00",57,136.5533,290,23.8,0.665,"3","128.C43"
"101",1705,"Bordalsbekken","Kraftverk","SUNNHORDLAND KRAFTLAG AS","916435711","Rogaland","11","Tysvær","46","2012-08-31T00:00:00","2012-08-31T00:00:00",1.9,5.9,205.4,1.04,0.507,"2","039.21Z"
"102",1700,"Borgen","Kraftverk","VESTFOLDMØLLENE AS","910735802","Vestfold","07","Sandefjord","10","2007-01-01T00:00:00","2007-01-01T00:00:00",0.09,0.5,NA,NA,NA,"2","014.AZ"
"103",35,"Borgund","Kraftverk","ØSTFOLD ENERGI AS","879904412","Sogn og Fjordane","14","Lærdal","22","1974-10-04T00:00:00","1974-10-04T00:00:00",212,1083.8,874,28,2.103,"5","073.C12"
"104",1829,"Borgåna","Kraftverk","BORGÅNA KRAFT AS","991968490","Rogaland","11","Suldal","34","2017-01-31T00:00:00","2017-01-31T00:00:00",1.95,5.5,346.5,0.7,0.774,"2","038.1Z"
"105",36,"Borregaard","Kraftverk","SARPSFOSS LIMITED","916694385","Østfold","01","Sarpsborg","05","1910-01-01T00:00:00","1910-01-01T00:00:00",51,250.5768,20.5,320,0.044,"1","002.A4"
"106",1649,"Botnabakken","Kraftverk","BOTNABAKKEN KRAFT AS","992361301","Sogn og Fjordane","14","Førde","32","2009-02-05T00:00:00","2009-02-05T00:00:00",0.16,0.7,125,NA,NA,"3","084.AB3"
"107",1005,"Botnaelva","Kraftverk","BOTNAELVA KRAFTVERK AS","821091152","Hordaland","12","Kvinnherad","24","2005-06-07T00:00:00","2005-06-07T00:00:00",0.4,1.2,NA,NA,NA,"2","045.31Z"
"108",1603,"Botnaelva","Kraftverk","SØRDALSKRAFT AS","987393971","Hordaland","12","Vaksdal","51","2007-01-04T00:00:00","2007-01-04T00:00:00",0.862,3.2,159,0.65,0.368,"5","063.A5Z"
"109",1544,"Brandåa","Kraftverk","SVORKA PRODUKSJON AS","973058347","Trøndelag","50","Rindal","61","2009-12-11T00:00:00","2009-12-11T00:00:00",3.94,15.8,NA,NA,NA,"3","112.D4A0"
"110",37,"Braskereidfoss","Kraftverk","E-CO ENERGI AS","976894677","Hedmark","04","Våler i Hedmark","26","1978-12-12T00:00:00","1978-12-12T00:00:00",35.95,163.1,9.5,450,0.022,"1","002.H12"
"111",38,"Bratsberg","Kraftverk","STATKRAFT ENERGI AS","987059729","Trøndelag","50","Trondheim ","01","1977-10-01T00:00:00","1977-10-01T00:00:00",124,621.1584,145,105,0.328,"3","123.A6"
"112",1687,"Bratthus","Kraftverk","BRATTHUS KRAFTVERK AS","996777502","Hordaland","12","Fusa","41","2012-05-07T00:00:00","2012-05-07T00:00:00",0.68,2.04,189.6,0.41,0.461,"2","053.D3"
"113",39,"Brattingfoss","Pumpekraftverk","NTE ENERGI AS","988340715","Trøndelag","50","Verran","39","1955-12-05T00:00:00","1955-12-05T00:00:00",10.7,31.112,118.3,12,0.248,"3","129.B0"
"114",40,"Brattset","Kraftverk","KRAFTVERKENE I ORKLA DA","947576283","Trøndelag","50","Rennebu","22","1982-10-10T00:00:00","1982-10-10T00:00:00",80,402.3264,268.9,36.02,0.616,"3","121.C6A0"
"115",869,"Brattvåg","Kraftverk","BRATTVÅG KRAFTVERK AS","910785885","Møre og Romsdal","15","Haram","34","1912-01-01T00:00:00","1912-01-01T00:00:00",0.81,3,NA,NA,NA,"3","102.12Z"
"116",1232,"Breiava","Kraftverk","LYSE PRODUKSJON AS","980335216","Rogaland","11","Hjelmeland","33","2006-08-28T00:00:00","2006-08-28T00:00:00",14.8,54,60,27,0.142,"2","033.D2"
"117",1882,"Breidalselva","Kraftverk","MOANE KRAFT AS","999229611","Sogn og Fjordane","14","Gloppen","45","2016-10-31T00:00:00","2016-10-31T00:00:00",0.99,5.3,350.2,0.3,NA,"3","087.1AZ"
"118",534,"Breiskallen","Kraftverk","VOKKS KRAFT AS","976550013","Oppland","05","Gjøvik","02","1988-01-01T00:00:00","1988-01-01T00:00:00",1,7.0453,29,4.21,0.065,"1","002.DCB0"
"119",41,"Breive","Pumpe","OTTERAAENS BRUGSEIERFORENING","959951829","Aust-Agder","09","Bykle","41","1981-01-01T00:00:00","1981-01-01T00:00:00",-20,-16.7915,0,19.97,-0.277,"2","021.JA0"
"120",1099,"Breivikbotn","Kraftverk","HAMMERFEST ENERGI AS","986950281","Finnmark - Finnmárku","20","Hasvik","15","1950-01-01T00:00:00","1950-01-01T00:00:00",0.84,4.012,NA,NA,NA,"4","216.5A"
"121",1328,"Breivold","Kraftverk","BREIVOLD ENERGI AS","981412001","Trøndelag","50","Åfjord","18","2001-01-01T00:00:00","2001-01-01T00:00:00",1,4.8,NA,NA,NA,"3","135.3C0"
"122",42,"Brekke","Kraftverk","SMÅKRAFT AS","984616155","Østfold","01","Rakkestad","28","1987-01-01T00:00:00","1987-01-01T00:00:00",1.5,5.5544,15,9.92,0.041,"1","002.A7"
"123",43,"Brekke","Kraftverk","ØSTFOLD ENERGI AS","879904412","Østfold","01","Halden","01","1924-10-01T00:00:00","1924-10-01T00:00:00",8,36.4892,26.6,37.04,0.059,"1","001.B3"
"124",1141,"Brekkebekken","Kraftverk","ERLEND SAMSLÅTT","969790521","Vest-Agder","10","Sirdal","46","2004-09-09T00:00:00","2004-09-09T00:00:00",0.472,1.211,NA,NA,NA,"2","026.DAB"
"125",44,"Brekkefoss","Kraftverk","E-CO ENERGI AS","976894677","Buskerud","06","Hemsedal","18","1957-07-24T00:00:00","1957-07-24T00:00:00",1.6,11.3568,38,4.48,0.098,"5","012.CDBA1"
"126",1247,"Brekkefossen","Kraftverk","HOPE ENERGI AS","985564655","Sogn og Fjordane","14","Gloppen","45","2005-05-23T00:00:00","2005-05-23T00:00:00",3.9,18.01,68,7,0.163,"3","086.8A"
